"ADM2_CODE","ADM2_NAME","EVI Index","Precipitation Index"
145017,"Qulensya Wa Abd Al Kuri",1483.803589,3.064409494
145018,"Sa'adah",1013.057129,12.40625
145019,"Sahar",963.3171997,13.49823284
145020,"Al Buraiqeh",464.2572327,3.547535181
145021,"Al Mansura",484.5897522,4.025640965
145022,"Al Mualla",512.3846436,3.384615421
145023,"Ash Shaikh Outhman",490.75,4.967741966
145024,"Attawahi",419.2999878,4.599999905
145025,"Craiter",402.8571472,4.166666508
145026,"Dar Sad",925.5696411,4.684931278
145027,"Khur Maksar",387.3333435,4.736111164
145028,"Al  Hawtah",1530.555542,5
145029,"Tuban",575.9533691,4.885876656
145030,"Jabal Murad",709.6918335,1.89864862
145031,"Marib",631.817688,1.192764163
145032,"Marib City",1366.815308,1
145033,"Medghal",662.4023438,1
145034,"Rahabah",675.3978882,1.898617506
145035,"Sirwah",669.9845581,0.985208988
145036,"Al Mahwait",1075.452026,6.003067493
145037,"Al Mahwait City",1618,9.941176414
145038,"Al Jabin",1429.244263,7.291139126
145039,"Kusmah",1173.563965,9.29613781
145040,"Mazhar",1172.299072,7.875421047
32877,"Al Makhadir",1355.492432,8.932772636
32878,"Al Qafr",957.430603,5.96675539
32876,"Al Udayn",1320.465698,7.550122261
32880,"An Nadirah",1036.042358,11.0990715
32879,"Ar Radmah",999.2988892,9.776073456
32881,"As Sabrah",1106.70813,9.180850983
32882,"As Saddah",992.3858032,13.1068964
32883,"As Sayyani",1288.616943,10.97692299
32884,"Ash Sha'ir",1172.352661,12.96052647
32885,"Ba'dan",1297.212646,11.72490692
32886,"Dhi As Sufal",1583.294067,11.6350708
32887,"Far Al Udayn",1219.975464,5.320987701
32888,"Hazm Al Udayn",922.5786133,5.979816437
32889,"Hubaysh",1098.046143,8.793774605
32891,"Jiblah",1492.565796,13.27737236
32892,"Mudhaykhirah",1669.922485,11.64615345
32893,"Yarim",902.062561,11.27035809
32692,"Ahwar",591.4586182,2.648225307
32693,"Al Mahfad",716.121521,3.641109228
32694,"Al Wade'a",726.7207031,5.28611517
32695,"Jayshan",714.3026733,6.722550392
32696,"Khanfir",681.9786987,5.369947433
32698,"Mudiyah",800.3589478,4.37043047
32699,"Rasad",1070.098755,8.176991463
32701,"Sarar",726.2784424,6.827468872
32700,"Sibah",812.9727173,7.1795578
32703,"Zingibar",851.8240967,5.990196228
32945,"Bani Al Harith",1034.206543,3.738255024
32719,"Al A'rsh",872.9458008,7.06040287
32717,"Al Quraishyah",819.0806274,4.304347992
32720,"Ar Ryashyyah",793.666687,8.898477554
32722,"As Sawma'ah",741.4180908,6.446592808
32718,"Ash Sharyah",846.1797485,5.488328457
32723,"At Taffah",829.5042725,6.080875397
32724,"Az Zahir",925.7744141,5.762712002
32725,"Dhi Na'im",756.7897339,7.099476337
32726,"Maswarah",740.6931763,4.781758785
32727,"Mukayras",705.3618774,7.874285698
32728,"Na'man",808.8850708,3.695501804
32729,"Nati'",781.1342163,3.717121601
32730,"Rada'",867.4685059,6.397637844
32731,"Radman Al Awad",835.5175171,4.96369648
32732,"Sabah",765.0119019,10.12663746
32733,"Wald Rabi'",803.8948975,4.325874329
32978,"Al  Mukha",788.8302002,2.281844378
32993,"Al Ma'afer",1014.946899,9.44387722
32975,"Al Mawasit",1074.223389,11.90336132
32977,"Al Wazi'iyah",841.0717163,5.871901035
32979,"As Silw",1023.623779,11.64835167
32974,"Ash Shamayatayn",961.5596313,10.5768671
32981,"Dhubab",623.1496582,3.074705839
32982,"Dimnat Khadir",871.8947144,7.63168335
32983,"Hayfan",1031.06958,9.823529243
32984,"Jabal Habashy",1092.123047,9.888235092
32985,"Maqbanah",1039.64563,5.147541046
32987,"Mawiyah",1026.306763,7.574522495
32988,"Mawza",870.8746948,3.801849365
32990,"Sama",992.7199707,13.27941132
32991,"Shara'b Ar Rawnah",1239.062622,6.427015305
32992,"Shara'b As Salam",1595.055298,8.713656425
32761,"Al Ghayl",991.1276855,1.127272725
32762,"Al Hazm",675.3145142,1.084390521
32763,"Al Humaydat",942.1947632,3.667235613
32765,"Al Khalq",818.4083252,1
32768,"Al Maslub",1044.663086,2
32766,"Al Matammah",894.7141724,0.115705997
32767,"Al Maton",1065.92981,2.039583445
32769,"Az Zahir",925.7744141,5.762712002
32770,"Bart Al Anan",668.2315674,6.933551311
32764,"Khabb wa ash Sha'af",735.8155518,2.616259336
32771,"Kharab Al Marashi",739.302002,5.885906219
32772,"Rajuzah",716.5507813,5.345678806
32849,"Abs",949.3467407,2.05858469
32850,"Aflah Al Yaman",1904.925903,5.866666794
32851,"Aflah Ash Shawm",1761.734741,7.59574461
32852,"Al Jamimah",863.3553467,6.211764812
32855,"Al Maghrabah",848.6703491,4.725856781
32854,"Al Mahabishah",1316.174805,7.223404408
32853,"Al Miftah",1316.644409,7.395061493
32856,"Ash Shahil",1028.26123,7.05084753
32858,"Aslem",1306.419556,3.41958046
32859,"Bakil Al Mir",833.7545776,5.891598701
32860,"Bani Qa'is",1001.394836,2.852233648
32863,"Haradh",887.7579956,3.070837259
32864,"Hayran",1013.162292,2.529999971
32865,"Khayran Al Muharraq",1329.308472,4.369318008
32866,"Ku'aydinah",1065.716553,3.632936478
32868,"Kuhlan Affar",945.9226074,7.072368622
32869,"Kuhlan Ash Sharaf",1333.304932,8.840000153
32867,"Kushar",979.1295166,7.488549709
32871,"Midi",880.2846069,2.731535673
32872,"Mustaba",975.8126831,3.411215067
32873,"Qafl Shamer",2042.524292,5.063158035
32874,"Sharas",880.6288452,5.54651165
32739,"Ad Dahi",1444.705933,2.985714197
32740,"Ad Durayhimi",831.3724365,2.391874075
32743,"Al Garrahi",1003.95636,1.232522845
32741,"Al Hajjaylah",1046.460938,3.110169411
32737,"Al Khawkhah",793.6219482,2.313531399
32746,"Al Mansuriyah",1288.626587,2.018518448
32747,"Al Marawi'ah",1120.763062,2.711058378
32748,"Al Mighlaf",1622.294922,2.041884899
32749,"Al Qanawis",1041.981567,2.038812876
32734,"Alluheyah",897.994812,2.078224182
32751,"As Sukhnah",1217.429443,2.091121435
32735,"At Tuhayat",699.8619385,2.390216112
32752,"Az Zaydiyah",1140.37793,2.411031961
32753,"Az Zuhrah",1125.164429,2.021664858
32754,"Bajil",891.2226563,3.33387804
32755,"Bayt Al Faqiah",1023.898193,1.93588233
32756,"Bura",1291.258301,5.514814854
32757,"Hays",1071.112793,2.054237366
32758,"Jabal Ra's",970.272522,3.210065603
32759,"Kamaran",818.9818115,2.099009991
32760,"Zabid",1068.642456,1.35868001
32825,"Ad Dis",988.0761108,5.866304398
32823,"Adh Dhlia'ah",1119.082397,6.364285946
32824,"Al Abr",787.5219116,2.983893871
32838,"Al Qaf",1015.40918,8.678492546
32827,"Al Qatn",1174.324585,5.828353882
32822,"Amd",1162.379883,5.654251099
32828,"Ar Raydah Wa Qusayar",997.460083,7.470513344
32829,"As Sawm",1171.970093,8.73465538
32830,"Ash Shihr",1003.989563,6.389585972
32832,"Daw'an",1161.908447,7.040816307
32834,"Ghayl Bin Yamin",1260.678101,7.771652222
32835,"Hagr As Sai'ar",1159.766235,6.061964989
32836,"Hajr",984.2042236,4.203856945
32837,"Huraidhah",1129.433472,5.471681595
32840,"Rakhyah",1157.702759,4.544028759
32839,"Rumah",964.1154175,13.62320328
32841,"Sah",1157.736084,6.623817921
32842,"Sayun",1235.189209,6.597345352
32843,"Shibam",1187.789063,6.137658119
32844,"Tarim",1203.687622,7.414172173
32845,"Thamud",951.2684937,11.49486732
32846,"Wadi Al Ayn",1160.266602,5.764062405
32847,"Yabuth",1132.018311,4.671465397
32848,"Zamakh wa Manwakh",851.6553345,5.620031834
